group,subject_number,block,task,central_task_accuracy,central_task_signal,central_task_decision,central_task_confidence,peripheral_task_accuracy,peripheral_task_signal,peripheral_task_decision,peripheral_task_confidence,central_frames,peripheral_frames,gabor_alpha_contrast,peripheral_task_reaction_time
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.2,9.832927623
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.192411878,14.08251351
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.184880719,2.649468234
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.177414326,2.166236036
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.17013462,1.415429617
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.197831287,2.116138223
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.191394328,2.649687608
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.185032852,2.166062348
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.178845498,2.299607807
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.172737669,16.06650899
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.166709927,2.249431457
control,1,-24,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.160847862,1.733065024
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.155065118,2.999661688
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.149445173,6.432620876
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.143900869,6.032950353
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.138430297,1.383284644
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.133103797,2.865913091
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,2,18,23,0.127845088,3.566164824
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.122722241,14.53267868
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.117660068,1.78309827
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.11272422,1.449662613
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,2,18,23,0.107841297,3.383248396
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.103074427,1.18297533
control,1,-23,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.098352525,1.266735235
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,2,18,23,0.093736126,2.882986922
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.089156841,1.016002256
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.084672567,1.666327977
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.080217872,3.982960529
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,2,18,23,0.075847992,2.599511637
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.07156452,0.915988248
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.067298609,1.499593912
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.063109196,1.099490304
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.058931129,1.266173773
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.054820334,2.783170011
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.050715378,3.199475238
control,1,-22,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.046669201,0.982441355
